Pizza,Cost,Description,Calories
Margherita,£9.46,"Mozzarella cheese, tomato, oregano",765kcal
Napoletana,£9.9,"Cheese, tomato, anchovies, oregano, garlic",874kcal
Diavola,£9.57,"Cheese, tomato, pepperoni, chilli, salami, onions",1023kcal
Vegetariana,£9.79,"Mushrooms, peppers, onion, spinach, asparagus",654kcal
Prosciutto,£8.69,"Mozzarella cheese, tomato and ham",765kcal
Capri,£10.01,"Cheese, tomato, olives, anchovies, garlic, capers",874kcal
Funghi,£10.34,"Mozzarella cheese, tomato and mushrooms",567kcal
Quattro Stagioni,£9.22,"Cheese, tomato, mushrooms, artichokes, ham",765kcal
Sorrento,£9.9,"Mozzarella cheese, tomato, ham and pineapple",876kcal
Meridiana,£10.67,"Cheese, tomato, ham, mushrooms and chicken",798kcal
Florentine,£8.25,"egg, spinach",550kcal
